Input: 1.1
8,	0,	0,	0,	5,		Pour
8,	0,	0,	4,	5,		Fill
12,	0,	0,	0,	5,		Pour
12,	0,	0,	4,	5,		Fill
12,	0,	4,	0,	5,		Pour
12,	0,	4,	4,	1,		Pour
12,	1,	4,	4,	0,		Pour
12,	1,	4,	4,	6,		Fill
15,	1,	4,	4,	3,		Pour
11,	1,	8,	4,	3,		Pour
11,	1,	0,	4,	3,		Empty
11,	1,	3,	4,	0,		Pour
5,	1,	3,	4,	6,		Pour
5,	1,	3,	4,	0,		Empty
0,	1,	3,	4,	5,		Pour
15,	1,	3,	4,	5,		Fill
15,	1,	3,	0,	5,		Empty
11,	1,	3,	4,	5,		Pour
Path / States: 28/5745 (20263)

Input: 2.4
0,	0,	0,	0,	0,		None
0,	12,	0,	0,	0,		Fill
0,	12,	0,	0,	6,		Fill
0,	12,	8,	0,	6,		Fill
0,	12,	4,	4,	6,		Pour
4,	12,	4,	0,	6,		Pour
15,	12,	4,	0,	6,		Fill
11,	12,	4,	4,	6,		Pour
11,	12,	4,	0,	6,		Empty
7,	12,	4,	4,	6,		Pour
7,	12,	4,	0,	6,		Empty
3,	12,	4,	4,	6,		Pour
3,	12,	4,	0,	6,		Empty
Path / States: 12/448 (1975)

Input: 2.5
0,	0,	0,	0,	0,		None
0,	0,	0,	0,	6,		Fill
0,	0,	0,	4,	6,		Fill
0,	0,	4,	0,	6,		Pour
0,	0,	4,	4,	2,		Pour
2,	0,	4,	4,	0,		Pour
2,	0,	4,	4,	6,		Fill
2,	12,	4,	4,	6,		Fill
14,	0,	4,	4,	6,		Pour
15,	0,	4,	3,	6,		Pour
0,	0,	4,	3,	6,		Empty
3,	0,	4,	0,	6,		Pour
3,	0,	4,	4,	6,		Fill
3,	0,	4,	4,	0,		Empty
3,	0,	4,	0,	4,		Pour
3,	0,	4,	4,	4,		Fill
3,	0,	4,	2,	6,		Pour
3,	2,	4,	0,	6,		Pour
0,	2,	4,	3,	6,		Pour
2,	0,	4,	3,	6,		Pour
Path / States: 19/766 (2762)

Input: 3.1
0,	0,	0,	0,	0,		None
14,	0,	0,	0,	0,		Fill
14,	0,	12,	0,	0,		Fill
14,	10,	12,	0,	0,		Fill
14,	10,	12,	0,	8,		Fill
11,	10,	12,	3,	8,		Pour
11,	10,	12,	0,	8,		Empty
11,	10,	12,	3,	5,		Pour
11,	10,	12,	0,	5,		Empty
8,	10,	12,	3,	5,		Pour
13,	10,	12,	3,	0,		Pour
13,	10,	12,	3,	8,		Fill
13,	10,	12,	0,	8,		Empty
13,	7,	12,	3,	8,		Pour
13,	7,	12,	0,	8,		Empty
13,	7,	12,	3,	5,		Pour
13,	7,	12,	0,	5,		Empty
13,	4,	12,	3,	5,		Pour
13,	9,	12,	3,	0,		Pour
13,	9,	12,	3,	8,		Fill
13,	9,	12,	0,	8,		Empty
13,	9,	12,	3,	5,		Pour
13,	9,	12,	0,	5,		Empty
13,	9,	12,	3,	2,		Pour
13,	9,	12,	0,	2,		Empty
13,	9,	12,	2,	0,		Pour
13,	9,	12,	2,	8,		Fill
13,	9,	12,	3,	7,		Pour
13,	9,	12,	0,	7,		Empty
13,	9,	11,	0,	8,		Pour
13,	9,	11,	3,	5,		Pour
13,	9,	11,	0,	5,		Empty
13,	9,	11,	3,	2,		Pour
13,	9,	11,	0,	2,		Empty
